time,sn,VOCs_1,VOCs_2
2021-01-13 17:12:22,F000-F406,1218.7,1335.8
2021-01-13 17:12:22,F000-F367,1223.8,11.0
2021-01-13 17:12:22,B616-106F,305.7,638.6
2021-01-13 17:12:22,BD00-02B5,19.7,6553.5
2021-01-13 17:12:22,C216-100B,908.3,978.0
2021-01-13 17:12:22,B616-1029,2226.7,1820.3
2021-01-13 17:12:22,B616-1015,1668.3,1256.3
2021-01-13 17:12:22,B616-106D,1030.2,1000.6
2021-01-13 17:12:22,BD00-02A8,17.8,8.9
2021-01-13 17:12:22,BD00-02B3,261.9,8.5
2021-01-13 17:12:22,B616-1018,1811.2,1036.1
2021-01-13 17:12:22,C216-1003,948.2,985.3
2021-01-13 17:12:23,F000-F40B,19.7,19.2
2021-01-13 17:12:23,B616-1051,1233.2,1881.5
2021-01-13 17:12:23,B616-1031,997.7,1070.5
2021-01-13 17:12:23,C216-1005,1328.2,1281.3
2021-01-13 17:12:23,B616-1028,2209.4,8.1
2021-01-13 17:12:23,B616-102D,1615.1,1472.9
2021-01-13 17:12:23,BD00-0162,6553.5,6553.5
2021-01-13 17:12:23,B616-101C,1866.8,1781.7
2021-01-13 17:12:23,B616-103C,1500.7,427.0
2021-01-13 17:12:23,B616-104C,1629.8,1760.8
2021-01-13 17:12:23,C216-1008,913.7,1301.0
2021-01-13 17:12:23,B616-1034,1996.2,1886.5
2021-01-13 17:12:23,B616-103F,1511.7,1602.2
2021-01-13 17:12:23,BD00-02B2,22.2,6553.5
2021-01-13 17:12:23,BD00-02A3,406.7,6553.5
2021-01-13 17:12:23,BD00-02B9,6553.5,6553.5
2021-01-13 17:12:23,B616-102E,968.7,1182.2
2021-01-13 17:12:23,B616-102A,1546.3,1202.0
2021-01-13 17:12:23,F000-F405,1447.1,1358.1
2021-01-13 17:12:23,BD00-02AB,23.5,8.6
2021-01-13 17:12:23,C216-1009,1084.1,890.5
2021-01-13 17:12:23,BD00-02BA,19.5,422.0
2021-01-13 17:12:23,B616-1024,1489.2,2369.6
2021-01-13 17:12:23,C216-100A,778.6,752.7
2021-01-13 17:12:23,B616-1045,2059.6,1641.2
2021-01-13 17:12:23,B616-1039,665.0,1163.6
2021-01-13 17:12:23,B616-1041,1899.3,913.2
2021-01-13 17:12:23,BD00-02AC,26.0,9.0
2021-01-13 17:12:23,BD00-01F2,1402.9,2144.1
2021-01-13 17:12:23,B616-101E,1261.4,1025.1
2021-01-13 17:12:23,F000-F40A,290.8,26.8
2021-01-13 17:12:24,F000-F308,977.8,6553.5
2021-01-13 17:12:24,BD00-02B0,24.2,6553.5
2021-01-13 17:12:24,C216-1001,1624.3,1369.2
2021-01-13 17:12:24,B616-1055,1103.4,1199.3
2021-01-13 17:12:24,BD00-02AF,20.6,6553.5
2021-01-13 17:12:24,B616-1025,1373.8,1578.2
2021-01-13 17:12:24,BD00-02A5,6553.5,6553.5
2021-01-13 17:12:24,BD00-02AD,21.6,314.4
2021-01-13 17:12:24,BD00-02B6,17.6,6553.5
2021-01-13 17:12:24,B616-1010,2396.3,2165.2
2021-01-13 17:12:24,BD00-02F9,6553.5,6553.5
2021-01-13 17:12:24,B616-1022,1875.3,1143.9
2021-01-13 17:12:24,B616-106B,895.5,1313.4
2021-01-13 17:12:24,B616-104F,951.1,1019.5
2021-01-13 17:12:24,BD00-02A6,17.9,6553.5
2021-01-13 17:12:24,C225-0005,6553.5,6553.5
2021-01-13 17:12:24,B616-1014,1869.0,1808.4
2021-01-13 17:12:24,BD00-02A2,13.8,8.6
2021-01-13 17:12:24,B616-1020,11.0,1862.1
2021-01-13 17:12:24,B616-104A,1344.5,8.1
2021-01-13 17:12:24,B616-101F,2042.5,2331.0
2021-01-13 17:12:24,BD00-02A7,21.6,6553.5
2021-01-13 17:12:24,B616-1048,1724.2,1403.0
2021-01-13 17:12:24,B616-1030,6553.5,6553.5
2021-01-13 17:12:24,B616-1054,6.1,1131.5
2021-01-13 17:12:24,B616-1042,1976.9,2017.9
2021-01-13 17:12:24,C216-1006,1672.0,1030.8
2021-01-13 17:12:24,B616-1043,706.5,1045.0
2021-01-13 17:12:24,B616-106C,798.9,885.8
2021-01-13 17:12:24,BD00-02AA,23.8,6553.5
2021-01-13 17:12:24,BD00-02A1,451.7,6553.5
2021-01-13 17:12:25,BD00-02B7,20.6,6553.5
2021-01-13 17:12:25,B616-1035,1473.1,1926.6
2021-01-13 17:12:25,BD00-02B4,19.6,6553.5
2021-01-13 17:12:25,F000-F367,1233.5,11.0
2021-01-13 17:12:25,F000-F406,1253.8,1362.0
2021-01-13 17:12:25,B616-106F,316.3,648.6
2021-01-13 17:12:25,BD00-02B5,19.3,6553.5
2021-01-13 17:12:25,B616-1029,2235.4,1825.1
2021-01-13 17:12:25,B616-100E,6553.5,6553.5
2021-01-13 17:12:25,C216-1002,1073.4,1105.8
2021-01-13 17:12:25,BD00-02B8,23.9,6553.5
2021-01-13 17:12:25,BD00-02A8,17.5,8.9
2021-01-13 17:12:25,B616-106D,1030.7,1001.1
2021-01-13 17:12:25,B616-1051,1243.5,1904.6
2021-01-13 17:12:25,BD00-02AE,41.2,6553.5
2021-01-13 17:12:25,B616-1031,1068.8,1153.9
2021-01-13 17:12:25,BD00-02B3,264.1,8.4
2021-01-13 17:12:25,B616-1018,1797.2,1028.5
2021-01-13 17:12:25,F000-F40B,19.6,19.2
2021-01-13 17:12:26,B616-102B,1562.8,1609.2
2021-01-13 17:12:26,B616-1028,2206.4,8.1
2021-01-13 17:12:26,BD00-0162,6553.5,6553.5
2021-01-13 17:12:26,B616-104C,1629.1,1760.3
2021-01-13 17:12:26,B616-102D,1626.3,1486.2
2021-01-13 17:12:26,B616-103C,1495.3,425.9
2021-01-13 17:12:26,B616-1034,1999.6,1889.4
2021-01-13 17:12:26,B616-103F,1518.9,1607.0
2021-01-13 17:12:26,BD00-02A3,409.4,6553.5
2021-01-13 17:12:26,BD00-02B2,22.4,6553.5
2021-01-13 17:12:26,F000-F405,1410.5,1332.5
2021-01-13 17:12:26,BD00-02AB,23.7,8.5
2021-01-13 17:12:26,BD00-02B9,6553.5,6553.5
2021-01-13 17:12:26,B616-102A,1541.1,1196.2
2021-01-13 17:12:26,B616-102E,967.9,1180.4
2021-01-13 17:12:26,B616-1024,1477.2,2360.4
2021-01-13 17:12:26,B616-1039,649.7,1134.1
2021-01-13 17:12:26,F000-F173,1.6,6553.5
2021-01-13 17:12:26,F000-F173,1.6,6553.5
2021-01-13 17:12:26,BD00-02BA,20.2,422.0
2021-01-13 17:12:26,B616-1045,2057.3,1638.8
2021-01-13 17:12:26,B616-1041,1905.0,916.4
2021-01-13 17:12:26,BD00-02AC,25.9,9.0
2021-01-13 17:12:26,BD00-01F2,1409.2,2149.1
2021-01-13 17:12:26,B616-101E,1263.1,1027.1
2021-01-13 17:12:26,F000-F40A,289.9,26.7
2021-01-13 17:12:27,BD00-02AF,20.5,6553.5
2021-01-13 17:12:27,F000-F308,977.6,6553.5
2021-01-13 17:12:27,B616-1055,1101.3,1197.3
2021-01-13 17:12:27,B616-1025,1382.5,1583.7
2021-01-13 17:12:27,B616-1020,11.0,1872.9
2021-01-13 17:12:27,BD00-02AD,21.8,314.4
2021-01-13 17:12:27,BD00-02A5,6553.5,6553.5
